"param","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"1","phi1[1]",0.000531359458914236,0.0010762252867241,6.24854086936517e-16,1.6349943786176e-05,0.000204061153701601,0.000641383373874317,0.00285989367467281,1.11354588780867,298,0,1
"2","phi1[2]",0.000554705698616351,0.00114862241483356,1.1746020277407e-15,1.80666484042013e-05,0.000209598328731944,0.000646513942968722,0.00297575354653635,1.10273482512009,462,0,1
"3","phi1[3]",0.000546554066311255,0.0011496891219491,9.36941468188028e-17,1.62360306368319e-05,0.000208676722750691,0.000641857664244385,0.00298976936553683,1.11027631180474,365,0,1
"4","phi1[4]",0.000565958091212082,0.00113512475202792,4.60530304358787e-15,2.37299613648765e-05,0.000221679735579606,0.000666013491779787,0.0030772815001536,1.10440889336294,589,0,1
"5","phi1[5]",0.000523899932732765,0.00103423553517135,2.35790990974281e-17,1.34494002102384e-05,0.000202356672801525,0.000629956741245853,0.00286508098789988,1.09297990396948,187,0,1
"6","phi1[6]",0.000545731193990937,0.00120433530737286,1.2123755512341e-14,1.43435936733739e-05,0.000201218238741481,0.000635507008119895,0.00287818695111594,1.13162414776964,369,0,1
"7","phi1[7]",0.000534309971023079,0.000982530842047138,3.48374185634009e-08,4.77656732876847e-05,0.000236422193843887,0.000645265833295846,0.00273551766192117,1.07886259980469,272,0,1
"8","phi1[8]",0.000592157190693274,0.000877566716665129,1.69839156984156e-06,9.86937822637622e-05,0.000308722054014196,0.000742075948907336,0.0027866730053768,1.04193409042039,36299,0,1
"9","phi1[9]",0.00040844255544168,0.000678958706227196,6.15236913560229e-11,1.03352170745982e-05,0.000156686512309597,0.000533137222262935,0.00216620259505205,1.24279848502134,14,0,1
"10","phi1[10]",0.000400387209609453,0.000684623987451173,2.71153541259411e-09,1.35242414437896e-06,0.000139027386906262,0.000538895188062933,0.00215910364366134,1.26439509132501,13,0,1
"11","phia[1]",0.446651760303258,0.0331272603237319,0.377432242961986,0.425874257173433,0.447519163395734,0.468665354187204,0.509861796404535,1.01504832310921,251,0,1
"12","phia[2]",0.468854539734279,0.0342662650271248,0.405396402276975,0.446173378235873,0.467252907171892,0.489875720908334,0.541168621640973,1.01507426993124,260,0,1
"13","phia[3]",0.457727865052025,0.0323921674995441,0.393581840806429,0.436766031069783,0.457576629094953,0.478689000678212,0.522637053238283,1.00629383465249,21475,0,1
"14","phia[4]",0.443403705866183,0.0348603802688994,0.369881476487773,0.421866817255088,0.444900883549779,0.466737799225307,0.508118840980832,1.01791602217455,169,0,1
"15","phia[5]",0.454569142111563,0.0338603652009891,0.386219038268746,0.433176114954198,0.454586061585439,0.476240608914548,0.521314570426651,1.00762237609975,2434,0,1
"16","phia[6]",0.466792871881495,0.0346520955758386,0.401727629292556,0.443960632361099,0.465606813746212,0.488084218808413,0.540258548506839,1.01297027319921,422,0,1
"17","phia[7]",0.466497792625728,0.0337649256103596,0.402773562797833,0.444168987340182,0.465583972963906,0.487307444624117,0.536855190622553,1.01073618299907,527,0,1
"18","phia[8]",0.449811174189477,0.0341112359914902,0.379144771232639,0.428510423381227,0.450771271346174,0.472157565321349,0.514957293047575,1.01070593985894,522,0,1
"19","phia[9]",0.475661995832412,0.0368749484718448,0.409508715500989,0.450905818473837,0.473143704065727,0.497305928739168,0.557076925727697,1.02987670555859,101,0,1
"20","phia[10]",0.443546970957536,0.0342018939345051,0.371699965898377,0.422390525128354,0.444916624817137,0.466104265978161,0.507448407107979,1.02122598899529,142,0,1
"21","omega[1]",34.0870027094638,4.57143784493299,25.4657510176807,31.1954185641594,33.9211378371657,36.7689540120688,43.7675611736084,1.00017564187685,14583,0,1
"22","omega[2]",34.8772852345909,4.73975733717394,26.6780723941631,31.7991199022229,34.5192421017956,37.4792564620465,45.4379439921028,1.0001812420019,12050,0,1
"23","omega[3]",33.4752220974799,4.45307285453394,24.6545176175917,30.6901776216432,33.4456694265097,36.236019395658,42.4780730530808,1.00014457976599,12147,0,1
"24","omega[4]",33.9474264295736,4.48146945648908,25.4569584538389,31.0980478310331,33.8265378516963,36.6107052360372,43.162984703669,1.00007069237097,37500,0,1
"25","omega[5]",34.0121657962842,4.45429319800262,25.5480069452023,31.17162162142,33.8671814775964,36.6721598532386,43.3625363009199,1.00023714051832,9433,0,1
"26","omega[6]",34.5746785717389,4.65349969794889,26.3426801789261,31.582876848651,34.2770320332992,37.1799377409504,44.7284544733358,1.00015676255705,31255,0,1
"27","omega[7]",33.4556004546996,4.42935292267028,24.6628295570218,30.6691622736157,33.4344775227196,36.1997577545413,42.3171332992902,1.00020244798645,8644,0,1
"28","omega[8]",33.3580611944981,4.41201659100342,24.4798586026332,30.6047623971027,33.3461814751968,36.1281973681847,42.1496976757511,1.00014097867188,17035,0,1
"29","omega[9]",34.7706212576916,4.7232144007154,26.5783905738202,31.7146690315556,34.4125329651422,37.353590393348,45.2774376920102,1.00008803410452,15629,0,1
"30","omega[10]",33.9374459643186,4.49919310365336,25.2731565040799,31.0735672803472,33.8070544531858,36.6403447199562,43.2523618058102,1.00004664833209,24637,0,1
"31","immRate[1]",0.447497581518504,0.100487706642171,0.271604938271605,0.376623376623377,0.44047619047619,0.507692307692308,0.666666666666667,1.00006405386808,37500,0,1
"32","immRate[2]",0.53972416146428,0.110050317775279,0.347826086956522,0.462686567164179,0.53125,0.607142857142857,0.777777777777778,1.00002110685455,34409,0,1
"33","immRate[3]",0.462302184087608,0.0960363696404473,0.287671232876712,0.396825396825397,0.457142857142857,0.523076923076923,0.666666666666667,1.00006602499504,28731,0,1
"34","immRate[4]",0.53402743998849,0.109852723359993,0.338235294117647,0.457627118644068,0.527027027027027,0.603174603174603,0.769230769230769,1.00001663249036,37500,0,1
"35","immRate[5]",0.556028518369823,0.113412812985996,0.354838709677419,0.476923076923077,0.548387096774194,0.627118644067797,0.8,1.00006866132899,21536,0,1
"36","immRate[6]",0.58073465647107,0.11807523246775,0.373333333333333,0.5,0.573529411764706,0.653846153846154,0.833333333333333,0.999997105256942,37500,0,1
"37","immRate[7]",0.4908370957939,0.10247951521077,0.305555555555556,0.420289855072464,0.484848484848485,0.555555555555556,0.707314323607428,1.00028012624358,7000,0,1
"38","immRate[8]",0.516937753945101,0.108519273347939,0.323076923076923,0.441176470588235,0.508771929824561,0.584615384615385,0.75,1.00012596994248,22741,0,1
"39","immRate[9]",0.626755131583322,0.129134633480381,0.405797101449275,0.536231884057971,0.616666666666667,0.704918032786885,0.909090909090909,1.0001827793228,25837,0,1
"40","immRate[10]",0.522895577400157,0.107876814077123,0.328767123287671,0.447761194029851,0.515625,0.590909090909091,0.75,1.00006375734597,37500,0,1
"41","prod[1]",2.46223655026483,0.150457319056678,2.16339860119515,2.36145309248057,2.46305561836783,2.56342933037785,2.75598775296641,1.00004528868344,28395,0,1
"42","prod[2]",2.47937322770865,0.153211190581651,2.17818052225831,2.37754160909582,2.48074160452167,2.58185126792206,2.78168273715345,1.00015381021202,10827,0,1
"43","prod[3]",2.23641514077175,0.166924866386841,1.90923705752093,2.12186400712206,2.23686082109381,2.35247406574631,2.55548782947214,1.00013255546857,12248,0,1
"44","prod[4]",2.63515481530726,0.163670566945742,2.32658543377745,2.52530089096499,2.62839776391655,2.73889464605205,2.97815541876374,1.00007116118614,18123,0,1
"45","prod[5]",2.69903325219437,0.169871682969762,2.38822001910385,2.58207151325244,2.6891931343072,2.80687646677197,3.05989087466674,1.0000895305416,16062,0,1
"46","prod[6]",2.55995468633047,0.158821613195136,2.25494253862138,2.45352875568418,2.55776355555033,2.66209431180679,2.88450726329005,1.0000139525862,37500,0,1
"47","prod[7]",2.47895403681813,0.15287202638251,2.17804483014545,2.37677212943489,2.47941142857051,2.58085683743448,2.78107703498753,1.00006647331608,20035,0,1
"48","prod[8]",2.86071933490905,0.195533528585066,2.51693486892584,2.72110006461663,2.84754217812702,2.98822115791573,3.27274195891843,0.999991976122103,37500,0,1
"49","prod[9]",2.85508974323141,0.201705149329919,2.50335324238558,2.71216740024831,2.8398117987269,2.98339409077169,3.28943160922005,1.0002153297015,13189,0,1
"50","prod[10]",2.5196811302463,0.150074194635172,2.22768105288097,2.41978985726347,2.51819895309159,2.61894184997905,2.82216070720863,1.00275420283355,867,0,1
"51","prod[11]",2.67591711759989,0.166635574334406,2.3695400254961,2.56087864876159,2.66895791706163,2.78292042679899,3.0234191364853,1.00010161382172,15149,0,1
"52","N.1[1]",25.7540266666667,8.50001630155372,9,20,26,32,43,0.999970388152857,37500,0,1
"53","N.1[2]",0.101146666666667,0.376563141872494,0,0,0,0,1,1.00476387878164,999,1,1
"54","N.1[3]",0.0993866666666667,0.373478259227797,0,0,0,0,1,1.00354913854082,1730,1,1
"55","N.1[4]",0.0826133333333333,0.332512634666636,0,0,0,0,1,1.0032848049791,2142,1,1
"56","N.1[5]",0.0943733333333333,0.359375084418666,0,0,0,0,1,1.004594257527,2338,1,1
"57","N.1[6]",0.0862133333333333,0.339190697343446,0,0,0,0,1,1.00231824965538,888,1,1
"58","N.1[7]",0.0893333333333333,0.360180068410789,0,0,0,0,1,1.0059763786143,1154,1,1
"59","N.1[8]",0.08432,0.326822560338621,0,0,0,0,1,1.00261046091389,1044,1,1
"60","N.1[9]",0.0997333333333333,0.346837815308672,0,0,0,0,1,1.00053764318038,28303,1,1
"61","N.1[10]",0.07024,0.290060774103298,0,0,0,0,1,1.10945758935719,81,1,1
"62","N.1[11]",0.0649066666666667,0.27616871377194,0,0,0,0,1,1.1208176881512,74,1,1
"63","N.sad[1]",25.7237066666667,8.49618347244915,9,20,26,31,42,1.00003128344098,36785,0,1
"64","N.sad[2]",34.6070666666667,5.51723014361806,24,31,35,38,46,1.00071634502985,2825,0,1
"65","N.sad[3]",33.2119466666667,5.06203403671402,24,30,33,37,43,1.00094186314992,2359,0,1
"66","N.sad[4]",31.4246133333333,4.89401766323531,22,28,31,35,41,1.0001528892082,37500,0,1
"67","N.sad[5]",28.1122133333333,4.72341717252279,19,25,28,31,38,1.00149566955124,1325,0,1
"68","N.sad[6]",28.1544266666667,4.66971668356083,19,25,28,31,38,1.00063810145754,3440,0,1
"69","N.sad[7]",29.6073066666667,4.77952868490268,21,26,30,33,39,1.00046134423051,11204,0,1
"70","N.sad[8]",29.7984533333333,4.75178363632313,21,27,30,33,39,1.00142806457346,1463,0,1
